doi,title,first_author_year,authors,venue,venue_type,year,reason_code,source_url
10.1103/PhysRevLett.84.5102,Direct Link between Microwave and Optical Frequencies with a 300 THz Femtosecond Laser Comb,diddams2000,"Scott A. Diddams, David J. Jones, Jun Ye, Steven T. Cundiff, John L. Hall, Jinendra K. Ranka, Robert S. Windeler, Ronald Holzwarth, Thomas Udem, T. W. Hänsch",Physical Review Letters,,2000,duplicate_of_existing,https://jila.colorado.edu/yelab/publications
10.1088/1367-2630/11/5/055049,"Cold and ultracold molecules: science, technology and applications",carr2009,"Lincoln D. Carr, David DeMille, Roman V. Krems, Jun Ye",New Journal of Physics,,2009,out_of_scope_topic,https://jila.colorado.edu/yelab/publications
10.1103/PhysRevLett.127.263201,High Phase-Space Density of Laser-Cooled Molecules in an Optical Lattice,wu2021,"Yewei Wu, Justin Burau, Kameron Mehling, Jun Ye, Shiqian Ding",Physical Review Letters,,2021,out_of_scope_topic,https://jila.colorado.edu/yelab/publications
10.1126/science.adg8294,Ergodicity breaking in rapidly rotating C60 fullerenes,segura2023,"Javier Segura, Mark Sherburn, Jun Ye, Gábor Halászi, Javier Morrone",Science,,2023,out_of_scope_topic,https://jila.colorado.edu/yelab/publications
,Properties of Signal Sources and Measurement Methods,howe1981,"David A. Howe, David W. Allan, James A. Barnes",Proceedings of 35th Annual Symposium on Frequency Control,,1981,nist_conference,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1109/FREQ.2003.1275106,Frequency-Domain Stability Measures and Their Time-Domain Equivalents,howe2003,"David A. Howe, T. K. Peppler",Proceedings of the 2003 IEEE International Frequency Control Symposium and PDA Exhibition,,2003,nist_conference,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1364/JOSAB.27.000B51,The Evolving Optical Frequency Comb,diddams2010,Scott A. Diddams,Journal of the Optical Society of America B,,2010,duplicate_of_existing,https://www.nist.gov/pml/time-and-frequency-division/publications
